t_host_s,seq,base_us,idx,ax,ay,az,t_dev_us
1762339436.737143,5797,1149208984,0,1194,360,3108,1149208984
1762339436.737143,5797,1149208984,1,1234,408,3019,1149210184
1762339436.737143,5797,1149208984,2,1281,401,2851,1149211384
1762339436.737143,5797,1149208984,3,1300,399,2707,1149212585
1762339436.737143,5797,1149208984,4,1319,384,2364,1149213785
1762339436.737143,5797,1149208984,5,1338,398,2467,1149214986
1762339436.737143,5797,1149208984,6,1357,397,2281,1149216186
1762339436.737143,5797,1149208984,7,1402,411,2147,1149217387
1762339436.737143,5797,1149208984,8,1435,430,2042,1149218587
1762339436.737143,5797,1149208984,9,1412,437,1868,1149219788
1762339436.737143,5797,1149208984,10,1462,444,1710,1149220988
1762339436.737143,5797,1149208984,11,1511,460,1635,1149222189
1762339436.737143,5797,1149208984,12,1563,466,1461,1149223389
1762339436.737143,5797,1149208984,13,1585,458,1346,1149224590
1762339436.737143,5797,1149208984,14,1644,457,1283,1149225790
1762339436.737143,5797,1149208984,15,1662,446,1274,1149226991
1762339436.737143,5797,1149208984,16,1677,454,1290,1149228191
1762339436.737143,5797,1149208984,17,1759,469,1345,1149229392
1762339436.737143,5797,1149208984,18,2018,459,1394,1149230592
1762339436.737143,5797,1149208984,19,1868,403,1478,1149231793
1762339436.782905,5798,1149248046,0,1923,396,1587,1149248046
1762339436.782905,5798,1149248046,1,1930,372,1714,1149249246
1762339436.782905,5798,1149248046,2,1972,380,1763,1149250446
1762339436.782905,5798,1149248046,3,1986,369,1901,1149251647
1762339436.782905,5798,1149248046,4,2039,357,1998,1149252847
1762339436.782905,5798,1149248046,5,2081,333,2024,1149254048
1762339436.782905,5798,1149248046,6,2140,323,2121,1149255248
1762339436.782905,5798,1149248046,7,2160,302,2183,1149256449
1762339436.782905,5798,1149248046,8,2175,302,2214,1149257649
1762339436.782905,5798,1149248046,9,2183,300,2182,1149258850
1762339436.782905,5798,1149248046,10,2198,319,2134,1149260050
1762339436.782905,5798,1149248046,11,2219,378,2025,1149261251
1762339436.782905,5798,1149248046,12,2200,413,1976,1149262451
1762339436.782905,5798,1149248046,13,2221,487,1822,1149263652
1762339436.782905,5798,1149248046,14,2247,535,1661,1149264852
1762339436.782905,5798,1149248046,15,2270,631,1331,1149266053
1762339436.782905,5798,1149248046,16,2233,710,1465,1149267253
1762339436.782905,5798,1149248046,17,2263,751,1294,1149268454
1762339436.782905,5798,1149248046,18,2276,833,1222,1149269654
1762339436.782905,5798,1149248046,19,2282,863,1164,1149270855
1762339436.877655,5799,1149287109,0,2271,946,1063,1149287109
1762339436.877655,5799,1149287109,1,2251,977,939,1149288309
1762339436.877655,5799,1149287109,2,2248,1067,887,1149289509
1762339436.877655,5799,1149287109,3,2272,1146,760,1149290710
1762339436.877655,5799,1149287109,4,2242,1160,662,1149291910
1762339436.877655,5799,1149287109,5,2257,1221,596,1149293111
1762339436.877655,5799,1149287109,6,2248,1260,552,1149294311
1762339436.877655,5799,1149287109,7,2226,1318,473,1149295512
1762339436.877655,5799,1149287109,8,2256,1313,416,1149296712
1762339436.877655,5799,1149287109,9,2240,1329,424,1149297913
1762339436.877655,5799,1149287109,10,2256,1327,400,1149299113
1762339436.877655,5799,1149287109,11,2267,1344,380,1149300314
1762339436.877655,5799,1149287109,12,2253,1327,362,1149301514
1762339436.877655,5799,1149287109,13,2251,1300,373,1149302715
1762339436.877655,5799,1149287109,14,2305,1025,354,1149303915
1762339436.877655,5799,1149287109,15,2290,1247,378,1149305116
1762339436.877655,5799,1149287109,16,2288,1195,402,1149306316
1762339436.877655,5799,1149287109,17,2331,1159,402,1149307517
1762339436.877655,5799,1149287109,18,2366,1112,410,1149308717
1762339436.877655,5799,1149287109,19,2433,1048,408,1149309918
1762339436.878260,5800,1149326171,0,2461,981,403,1149326171
1762339436.878260,5800,1149326171,1,2431,948,370,1149327371
1762339436.878260,5800,1149326171,2,2439,887,290,1149328571
1762339436.878260,5800,1149326171,3,2446,880,258,1149329772
1762339436.878260,5800,1149326171,4,2456,924,142,1149330972
1762339436.878260,5800,1149326171,5,2456,933,77,1149332173
1762339436.878260,5800,1149326171,6,2418,984,-4,1149333373
1762339436.878260,5800,1149326171,7,2404,1029,-34,1149334574
1762339436.878260,5800,1149326171,8,2355,1060,-99,1149335774
1762339436.878260,5800,1149326171,9,2315,1118,-154,1149336975
1762339436.878260,5800,1149326171,10,2291,1163,-217,1149338175
1762339436.878260,5800,1149326171,11,2265,1198,-295,1149339376
1762339436.878260,5800,1149326171,12,2228,1213,-377,1149340576
1762339436.878260,5800,1149326171,13,2174,1198,-428,1149341777
1762339436.878260,5800,1149326171,14,2152,1184,-502,1149342977
1762339436.878260,5800,1149326171,15,2126,1189,-576,1149344178
1762339436.878260,5800,1149326171,16,2071,1176,-619,1149345378
1762339436.878260,5800,1149326171,17,2052,1099,-653,1149346579
1762339436.878260,5800,1149326171,18,1990,1046,-681,1149347779
1762339436.878260,5800,1149326171,19,1950,1028,-692,1149348980
1762339436.916240,5801,1149365234,0,1917,997,-713,1149365234
1762339436.916240,5801,1149365234,1,1887,1018,-761,1149366434
1762339436.916240,5801,1149365234,2,1857,1023,-796,1149367634
1762339436.916240,5801,1149365234,3,1767,1045,-859,1149368835
1762339436.916240,5801,1149365234,4,1730,1104,-903,1149370035
1762339436.916240,5801,1149365234,5,1674,1137,-978,1149371236
1762339436.916240,5801,1149365234,6,1614,1138,-1015,1149372436
1762339436.916240,5801,1149365234,7,1571,1148,-1037,1149373637
1762339436.916240,5801,1149365234,8,1504,1135,-1117,1149374837
1762339436.916240,5801,1149365234,9,1461,1098,-1416,1149376038
1762339436.916240,5801,1149365234,10,1264,847,-1989,1149377238
1762339436.916240,5801,1149365234,11,1477,1004,-556,1149378439
1762339436.916240,5801,1149365234,12,1369,1505,-437,1149379639
1762339436.916240,5801,1149365234,13,966,1539,-806,1149380840
1762339436.916240,5801,1149365234,14,958,1480,-823,1149382040
1762339436.916240,5801,1149365234,15,996,1343,-386,1149383241
1762339436.916240,5801,1149365234,16,706,1095,13,1149384441
1762339436.916240,5801,1149365234,17,670,758,457,1149385642
1762339436.916240,5801,1149365234,18,625,542,622,1149386842
1762339436.916240,5801,1149365234,19,602,553,810,1149388043
1762339437.018031,5802,1149404296,0,578,558,1062,1149404296
1762339437.018031,5802,1149404296,1,540,594,1171,1149405496
1762339437.018031,5802,1149404296,2,551,632,1499,1149406696
1762339437.018031,5802,1149404296,3,435,610,1923,1149407897
1762339437.018031,5802,1149404296,4,385,507,2431,1149409097
1762339437.018031,5802,1149404296,5,274,323,2698,1149410298
1762339437.018031,5802,1149404296,6,298,301,3180,1149411498
1762339437.018031,5802,1149404296,7,266,188,3667,1149412699
1762339437.018031,5802,1149404296,8,232,47,3885,1149413899
1762339437.018031,5802,1149404296,9,261,58,4051,1149415100
1762339437.018031,5802,1149404296,10,183,52,4005,1149416300
1762339437.018031,5802,1149404296,11,224,32,4251,1149417501
1762339437.018031,5802,1149404296,12,215,77,4606,1149418701
1762339437.018031,5802,1149404296,13,218,133,5329,1149419902
1762339437.018031,5802,1149404296,14,149,196,5925,1149421102
1762339437.018031,5802,1149404296,15,190,266,6363,1149422303
1762339437.018031,5802,1149404296,16,214,301,6820,1149423503
1762339437.018031,5802,1149404296,17,305,331,7235,1149424704
1762339437.018031,5802,1149404296,18,394,409,7652,1149425904
1762339437.018031,5802,1149404296,19,365,408,7845,1149427105
1762339437.018674,5803,1149443359,0,395,525,8079,1149443359
1762339437.018674,5803,1149443359,1,467,647,8409,1149444559
1762339437.018674,5803,1149443359,2,536,867,8540,1149445759
1762339437.018674,5803,1149443359,3,539,1033,8864,1149446960
1762339437.018674,5803,1149443359,4,678,1164,8967,1149448160
1762339437.018674,5803,1149443359,5,688,1397,9324,1149449361
1762339437.018674,5803,1149443359,6,622,1594,9317,1149450561
1762339437.018674,5803,1149443359,7,682,1705,9445,1149451762
1762339437.018674,5803,1149443359,8,654,1936,9645,1149452962
1762339437.018674,5803,1149443359,9,681,2151,9711,1149454163
1762339437.018674,5803,1149443359,10,711,2513,9976,1149455363
1762339437.018674,5803,1149443359,11,693,2500,10320,1149456564
1762339437.018674,5803,1149443359,12,734,2701,10484,1149457764
1762339437.018674,5803,1149443359,13,749,2853,10749,1149458965
1762339437.018674,5803,1149443359,14,735,2922,10910,1149460165
1762339437.018674,5803,1149443359,15,714,3005,11160,1149461366
1762339437.018674,5803,1149443359,16,718,3104,11251,1149462566
1762339437.018674,5803,1149443359,17,688,3151,11413,1149463767
1762339437.018674,5803,1149443359,18,689,3217,11553,1149464967
1762339437.018674,5803,1149443359,19,558,3314,11629,1149466168
1762339437.019053,5804,1149482421,0,464,3356,11712,1149482421
1762339437.019053,5804,1149482421,1,451,3403,11726,1149483621
1762339437.019053,5804,1149482421,2,511,3449,11572,1149484821
1762339437.019053,5804,1149482421,3,491,3478,11531,1149486022
1762339437.019053,5804,1149482421,4,484,3471,11315,1149487222
1762339437.019053,5804,1149482421,5,512,3436,11110,1149488423
1762339437.019053,5804,1149482421,6,523,3387,10969,1149489623
1762339437.019053,5804,1149482421,7,497,3349,10603,1149490824
1762339437.019053,5804,1149482421,8,537,3360,10148,1149492024
1762339437.019053,5804,1149482421,9,574,3323,9946,1149493225
1762339437.019053,5804,1149482421,10,590,3257,9605,1149494425
1762339437.019053,5804,1149482421,11,648,3253,9331,1149495626
1762339437.019053,5804,1149482421,12,691,3178,9048,1149496826
1762339437.019053,5804,1149482421,13,652,3084,8875,1149498027
1762339437.019053,5804,1149482421,14,661,3022,8461,1149499227
1762339437.019053,5804,1149482421,15,657,2959,7941,1149500428
1762339437.019053,5804,1149482421,16,666,2944,7438,1149501628
1762339437.019053,5804,1149482421,17,626,2927,7217,1149502829
1762339437.019053,5804,1149482421,18,680,2968,6804,1149504029
1762339437.019053,5804,1149482421,19,566,2993,6461,1149505230
1762339437.052269,5805,1149521484,0,557,3058,6253,1149521484
1762339437.052269,5805,1149521484,1,542,3061,5926,1149522684
1762339437.052269,5805,1149521484,2,512,3082,5573,1149523884
1762339437.052269,5805,1149521484,3,264,3044,5151,1149525085
1762339437.052269,5805,1149521484,4,539,2985,5110,1149526285
1762339437.052269,5805,1149521484,5,482,2949,4804,1149527486
1762339437.052269,5805,1149521484,6,439,2875,4588,1149528686
1762339437.052269,5805,1149521484,7,407,2813,4488,1149529887
1762339437.052269,5805,1149521484,8,454,2809,4298,1149531087
1762339437.052269,5805,1149521484,9,420,2710,4125,1149532288
1762339437.052269,5805,1149521484,10,398,2609,4013,1149533488
1762339437.052269,5805,1149521484,11,462,2481,3797,1149534689
1762339437.052269,5805,1149521484,12,579,2454,3612,1149535889
1762339437.052269,5805,1149521484,13,506,2261,3367,1149537090
1762339437.052269,5805,1149521484,14,541,2188,3250,1149538290
1762339437.052269,5805,1149521484,15,550,1872,3096,1149539491
1762339437.052269,5805,1149521484,16,571,1942,2901,1149540691
