# t,ax,ay,az (t in seconds since start)
0.000000,3661,828,1619
0.001200,3682,823,1585
0.002401,3744,792,1465
0.003601,3796,789,1361
0.004802,3799,826,1194
0.006002,3761,885,1137
0.007203,3707,944,1048
0.008403,3674,1056,968
0.009604,3695,1193,981
0.010804,3625,1235,1044
0.012005,3594,1249,1110
0.013205,3577,1227,1117
0.014406,3599,1201,1146
0.015606,3642,1168,1118
0.016807,3606,1059,1099
0.018007,3624,972,1090
0.019208,3668,944,1082
0.020408,3680,921,1076
0.021609,3672,930,1066
0.022809,3669,971,1073
0.000181,3663,984,1117
0.001381,3645,1003,1087
0.002581,3636,1021,1075
0.003782,3635,1051,1014
0.004982,3657,1069,1119
0.006183,3683,1110,1163
0.007383,3703,1164,1111
0.008584,3725,1180,1118
0.009784,3737,1217,1096
0.010985,3744,1230,1079
0.012185,3723,1235,1011
0.013386,3750,1235,933
0.014586,3747,1211,951
0.015787,3728,1213,1046
0.016987,3735,1193,1174
0.018188,3730,1160,1285
0.019388,3718,1192,1325
0.020589,3728,1492,1395
0.021789,3773,1362,1542
0.022990,3780,1532,1562
0.089109,3793,1657,1593
0.090309,3805,1701,1573
0.091510,3801,1732,1540
0.092710,3795,1727,1516
0.093911,3799,1720,1478
0.095111,3784,1657,1496
0.096311,3779,1588,1484
0.097512,3786,1505,1478
0.098712,3782,1463,1454
0.099913,3763,1444,1454
0.101113,3761,1459,1448
0.102314,3742,1464,1420
0.103514,3753,1511,1393
0.104715,3756,1525,1364
0.105915,3766,1552,1340
0.107116,3774,1541,1276
0.108316,3791,1515,1192
0.109517,3804,1500,1159
0.110717,3824,1492,1092
0.111918,3829,1473,1074
0.089259,3821,1470,1101
0.090460,3960,1769,1138
0.091660,3883,1703,1114
0.092861,3782,1474,1166
0.094061,3752,1306,1026
0.095262,3712,1303,1028
0.096462,3605,1155,1146
0.097663,3596,1165,1145
0.098863,3621,1280,1125
0.100064,3680,1304,1156
0.101264,3750,1325,1162
0.102465,3779,1312,1125
0.103665,3806,1246,1047
